file_name,file_path,file_size_mb,page_count,inventory_timestamp
1.pdf,/home/manu/mining_gpt/data/raw_pdfs/1.pdf,11.98,167,2026-06-01T15:13:34.584904
1005_15052026064021.pdf,/home/manu/mining_gpt/data/raw_pdfs/1005_15052026064021.pdf,0.73,10,2026-06-01T15:13:34.591291
1012_11082025014333.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025014333.pdf,0.13,14,2026-06-01T15:13:34.594284
1012_11082025023324.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025023324.pdf,1.79,8,2026-06-01T15:13:34.601256
1012_11082025033737.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025033737.pdf,0.23,20,2026-06-01T15:13:34.607808
1012_11082025034049.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025034049.pdf,1.77,4,2026-06-01T15:13:34.614332
1012_11082025034352.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025034352.pdf,1.94,6,2026-06-01T15:13:34.621401
1012_11082025034702.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025034702.pdf,2.23,66,2026-06-01T15:13:34.642994
1012_15052026065705.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_15052026065705.pdf,0.93,8,2026-06-01T15:13:34.646839
11.pdf,/home/manu/mining_gpt/data/raw_pdfs/11.pdf,5.62,216,2026-06-01T15:13:34.698772
2.pdf,/home/manu/mining_gpt/data/raw_pdfs/2.pdf,7.88,259,2026-06-01T15:13:34.768841
330.pdf,/home/manu/mining_gpt/data/raw_pdfs/330.pdf,0.05,6,2026-06-01T15:13:34.770477
4-7-2014-4-fencing-of-sefety-zone.pdf,/home/manu/mining_gpt/data/raw_pdfs/4-7-2014-4-fencing-of-sefety-zone.pdf,0.08,2,2026-06-01T15:13:34.772236
5.pdf,/home/manu/mining_gpt/data/raw_pdfs/5.pdf,12.14,112,2026-06-01T15:13:34.818196
6.pdf,/home/manu/mining_gpt/data/raw_pdfs/6.pdf,0.07,8,2026-06-01T15:13:34.820310
642d0ab635ce81680673462.pdf,/home/manu/mining_gpt/data/raw_pdfs/642d0ab635ce81680673462.pdf,2.76,222,2026-06-01T15:13:34.861486
